,variance
CFAP299,0.00600697364828609
ACER2,0.006005549167020704
ADAMTSL4-AS1,0.005995769968170753
ONECUT2,0.00598855095032421
RGS9,0.005987445069147515
WNT2B,0.00598615003568197
BCL2,0.005981751590294518
LMO7,0.005976643598233535
SIM1,0.005971523993521096
ADCY1,0.0059671809299038136
ZNF827,0.005964516533543493
MN1,0.005957469104462545
HIST1H4H,0.005931844700183572
ACKR4,0.005930555986257306
NR4A3,0.005928165787444179
PDXK,0.0059207487071895005
ZNF423,0.0059042531817536026
ZNF521,0.005897064544723681
ZHX2,0.005887751833150347
P4HA2,0.005876468080565525
ADAMTS6,0.005874105237457515
EMP2,0.0058628908196566715
CPEB2,0.005861801578554754
PRDM1,0.005854622230845912
LRRN4CL,0.005854573682620436
NEDD9,0.00584520328635938
METRNL,0.005843356020157788
STAMBPL1,0.005829911867503784
ABCB11,0.0058145625350394465
NID2,0.00581116193404945
DHCR7,0.0058095885261964355
RFX3,0.005800213321678042
FLNB,0.005780740408826727
MIR222HG,0.0057785750197518315
ACER3,0.005778069516485554
LGR5,0.005776600262660859
AGPAT4,0.00577578686302183
PIK3R3,0.0057638514888666125
RFTN1,0.005762189101773755
EVA1A,0.005758730252465087
SLC7A8,0.005756071123030891
TSC22D3,0.005755937252099008
CRACR2B,0.005750681659341364
DAB1,0.005726419047120365
ADRA1B,0.005724034254303674
C11orf96,0.005709307517317812
CHMP1B,0.005694721333405425
CHST11,0.005683873660499013
PRELID2,0.00566164306481046
FMN2,0.005652084916607708
SGK1,0.0056450572545520454
GPR156,0.005635481313850073
DIRC1,0.005634809690439218
ARL15,0.005633423703551699
CKMT1A,0.005620366601849217
SLC13A3,0.0056154689633845165
STEAP2,0.005608588075363507
VWCE,0.005607233677603294
ROR2,0.005603410710314754
HRH1,0.005570461415807398
S100B,0.005561880266534526
DOCK10,0.005559625643667647
MAPK10,0.005552438768256115
ABLIM1,0.005552232896305539
MIR31HG,0.005546254215542956
FOSB,0.005543187428367673
KLF7,0.0055269644790302275
NFU1,0.005507432356988904
PLOD2,0.005501989978105218
UPP2,0.005498275765327125
ACOX1,0.0054599273739822235
SGCD,0.005457804462219676
PAG1,0.005457712486099554
ETV1,0.00545766319096602
IKZF2,0.005455833877588314
THEMIS2,0.00545266705401463
MAMDC2,0.0054387329692914335
COL8A1,0.0054373035818378115
CNIH3,0.005430184160766415
TMEM132B,0.005417033173656769
CEPT1,0.0054157396885487685
JAK2,0.005414956790705567
WWOX,0.00541063253261138
ARL4C,0.005400721406185809
RFX8,0.005398228124341961
LIX1-AS1,0.0053948999274230705
IFIT2,0.005391671352754588
KIAA0408,0.005381467568544042
EPHA4,0.005379461699083333
LRRC17,0.005378670988280477
UBA6-AS1,0.005373578196332003
VEPH1,0.005372844513616751
MTHFD2,0.005365350886964152
MDGA1,0.005363859848126775
UNG,0.005361545839375144
HILPDA,0.0053482792242324885
SLC19A2,0.00533988730308683
SLC22A15,0.005313835678348804
OAS1,0.0053127830619227835
CA12,0.005304010217993208
CAVIN2,0.005303506731100251
PTPRK,0.0053009017533325025
GADD45A,0.00528096851692076
VSTM4,0.005275246651225169
DDIT3,0.005273355689728954
LINC00632,0.005254537479817814
NBEA,0.005238746091757855
FLVCR2,0.005236153568155069
GPR137C,0.005232218464781981
POSTN,0.005220663187344692
